iiot_nodes_count,fog_nodes_count,sdn_controllers,workflows_per_device,workflows_length,hardware,iiot_power_mean,iiot_power_std,iiot_power_min,iiot_power_25%,iiot_power_50%,iiot_power_75%,iiot_power_max,iiot_memory_mean,iiot_memory_std,iiot_memory_min,iiot_memory_25%,iiot_memory_50%,iiot_memory_75%,iiot_memory_max,fog_power_mean,fog_power_std,fog_power_min,fog_power_25%,fog_power_50%,fog_power_75%,fog_power_max,fog_memory_mean,fog_memory_std,fog_memory_min,fog_memory_25%,fog_memory_50%,fog_memory_75%,fog_memory_max,switches_count,link_IS_latency_count,link_IS_latency_mean,link_IS_latency_std,link_IS_latency_min,link_IS_latency_25%,link_IS_latency_50%,link_IS_latency_75%,link_IS_latency_max,link_IS_capacity_count,link_IS_capacity_mean,link_IS_capacity_std,link_IS_capacity_min,link_IS_capacity_25%,link_IS_capacity_50%,link_IS_capacity_75%,link_IS_capacity_max,link_SF_latency_count,link_SF_latency_mean,link_SF_latency_std,link_SF_latency_min,link_SF_latency_25%,link_SF_latency_50%,link_SF_latency_75%,link_SF_latency_max,link_SF_capacity_count,link_SF_capacity_mean,link_SF_capacity_std,link_SF_capacity_min,link_SF_capacity_25%,link_SF_capacity_50%,link_SF_capacity_75%,link_SF_capacity_max,workflow_count,workwflow_steps,workflows_steps_cycles_mean,workflows_steps_cycles_std,workflows_steps_cycles_min,workflows_steps_cycles_25%,workflows_steps_cycles_50%,workflows_steps_cycles_75%,workflows_steps_cycles_max,workflows_steps_inputs_mean,workflows_steps_inputs_std,workflows_steps_inputs_min,workflows_steps_inputs_25%,workflows_steps_inputs_50%,workflows_steps_inputs_75%,workflows_steps_inputs_max,workflows_steps_outputs_mean,workflows_steps_outputs_std,workflows_steps_outputs_min,workflows_steps_outputs_25%,workflows_steps_outputs_50%,workflows_steps_outputs_75%,workflows_steps_outputs_max,workflows_steps_memory_mean,workflows_steps_memory_std,workflows_steps_memory_min,workflows_steps_memory_25%,workflows_steps_memory_50%,workflows_steps_memory_75%,workflows_steps_memory_max,workflows_starter_power_mean,workflows_starter_power_std,workflows_starter_power_min,workflows_starter_power_25%,workflows_starter_power_50%,workflows_starter_power_75%,workflows_starter_power_max,workflows_starter_memory_mean,workflows_starter_memory_std,workflows_starter_memory_min,workflows_starter_memory_25%,workflows_starter_memory_50%,workflows_starter_memory_75%,workflows_starter_memory_max,avg_response_time,std_response_time,solution_accuracy,solution_resp_time,vnf_cpu_consump,vnf_ram_consump,vnf_time_deploy,flgs,proto,saddr,att_id,sport,daddr,iot_id,dport,pkts,bytes,state,mean,stddev,sum,min,max,rate,srate,drate,attack,category,subcategory ,fog_server_iot,fog_server_att
10,10,1,4,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,42.0,0.0020000000000000013,1.316813396207863e-18,2,2,2,2,2,42.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,40,1,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1456,0.00880792184226717,93.93,0.2,3400,390,0.9,e,tcp,192.168.100.7,7,139,192.168.100.12,12,36390,56,3808,CON,0.000028,0.000008,0.000138,0.000022,0.000042,0.00619,0.002751,0.002751,0,Normal,Normal,0,0
10,10,1,3,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,43.0,0.0020000000000000013,1.316440096867631e-18,2,2,2,2,2,43.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,30,1,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14953333333333335,0.00429701847984064,93.93,0.6,3400,390,0.9,e s,tcp,192168100147,47,48802,192.168.100.3,3,80,891060,116718362,RST,0.155474,0.118305,0.466421,0,0.286736,0.205628,0.137085,0.034611,1,DDoS,TCP,3,1
10,10,1,2,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,43.0,0.0020000000000000013,1.316440096867631e-18,2,2,2,2,2,43.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,20,1,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14980000000000002,0.00729527604903193,93.93,0.7,3400,390,0.9,e s,tcp,192168100147,47,16603,192.168.100.6,6,80,1083966,150540172,RST,0.029798,0.017565,0.119193,0,0.043868,0.115391,0.057734,0.038496,1,DDoS,TCP,6,1
10,10,1,1,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,44.0,0.0020000000000000013,1.3160840616760306e-18,2,2,2,2,2,44.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10,1,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1502,0.0075542482529148205,93.93,0.2,3400,390,0.9,e,udp,192168100147,47,892,192.168.100.7,7,80,579135,34748100,INT,1.037494,1.657536,7.262457,0,4.075686,0.19507,0.19507,0,1,DDoS,UDP,7,1
10,10,1,2,3,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,45.0,0.0020000000000000013,1.3157441200297357e-18,2,2,2,2,2,45.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,20,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3975999999999999,0.008235992893839104,93.93,0.2,3400,390,0.9,e s,tcp,192168100148,48,55468,192.168.100.3,3,80,79366,13408630,RST,0.605878,1.211636,3.029388,0,3.02915,0.193338,0.128892,0.275841,1,DDoS,HTTP,3,2
10,10,1,3,3,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,43.0,0.0020000000000000013,1.316440096867631e-18,2,2,2,2,2,43.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,30,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.39779999999999993,0.006819849325871213,93.93,0.6,3400,390,0.9,e,tcp,192168100148,48,42451,192.168.100.5,5,80,1502321,194229220,RST,0.208379,0.147864,0.625136,0,0.32772,0.172212,0.114808,0.042377,1,DDoS,TCP,5,2
10,10,1,1,3,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,43.0,0.0020000000000000013,1.316440096867631e-18,2,2,2,2,2,43.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10,3,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3982,0.0025298221281346827,93.93,0.7,3400,390,0.9,e,udp,192168100150,50,173,192.168.100.7,7,80,372487,22349220,INT,0.609912,1.363804,3.659469,0,3.659469,0.144379,0.144379,0,1,DDoS,UDP,7,4
10,10,1,2,1,2,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,512.0,0.0,512.0,512.0,512.0,512.0,512.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,41.0,0.0020000000000000013,1.3172052466543307e-18,2,2,2,2,2,41.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,20,1,500.0,0.0,500.0,500.0,500.0,500.0,500.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,512.0,0.0,512.0,512.0,512.0,512.0,512.0,0.5,0.0,93.93,0.7,3400,390,0.9,e,udp,192.168.100.7,7,58999,192.168.100.15,15,53,128,18737,CON,0.098505,0.08015,0.197011,0.018356,0.178655,0.005264,0.001755,0.001755,0,Normal,Normal,0,0
10,10,1,3,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,39.0,0.0020000000000000013,1.3180504217471674e-18,2,2,2,2,2,39.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,30,1,500.0,0.0,500.0,500.0,500.0,500.0,500.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6422000000000002,0.008347619937484563,93.93,0.2,3400,390,0.9,e s,tcp,192168100149,49,32346,192.168.100.6,6,80,1065592,149219934,RST,0.021965,0.022263,0.087862,0,0.049065,0.096191,0.057769,0.019253,1,DDoS,TCP,6,3
10,10,1,1,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,800.0,0.0,800.0,800.0,800.0,800.0,800.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,10,40.0,0.0020000000000000013,1.3176170663444472e-18,2,2,2,2,2,40.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10.0,0.0020000000000000005,4.57139774554258e-19,2,2,2,2,2,10.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,10,1,500.0,0.0,500.0,500.0,500.0,500.0,500.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6446000000000001,0.0083159819357401,93.93,0.6,3400,390,0.9,e,udp,192168100147,47,47083,192.168.100.4,4,80,1710544,102632640,INT,3.704177,0.900272,7.408354,2.803905,4.604449,0.392496,0.392496,0,1,DDoS,UDP,4,1
